10004523,Barns,Russ,89
10003900,Burton,Kelly,74
10009510,Collier,Hugh,89
10006345,Dent,Adam,65
10005904,Dunstill,Amy,58
10000607,Frampton,Brian,70
10001424,Hart,Bary,80
10006579,Jackson,David,73
10007416,Mandel,Dale,78
10009911,Merick,Roger,64
10001187,Nolan,Tim,63
10001322,Olczyk,Edward,36
10000320,Plant,Sammy,69
10007858,Richter,Mike,61
10005787,Samson,Lorne,80
10009587,Smythe,Michael,89
10001707,Southman,Bridgette,70
10003209,Sundre,John,96
10008024,Timmins,Heather,74
10001252,Trevor,Adrian,58
10005260,Vale,Rick,29
10006148,Winn,Doug,68
10001586,Young,Ryan,62
